date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:32	194/194	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-c2%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/carat-r-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/carat-r-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:32	204/204	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-cc%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/carat-u-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/carat-u-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:33	172/172	---M--	200	added ('OK')	image/png	etag:%2228feccc0-ac%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/check-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/check-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:33	316/316	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-13c%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/clock-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/clock-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:33	210/210	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-d2%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/cloud-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/cloud-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:55	185/185	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-b9%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/delete-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/delete-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:56	170/170	---M--	200	added ('OK')	image/png	etag:%2228feccc0-aa%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/edit-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/edit-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:56	253/253	---M--	200	added ('OK')	image/png	etag:%2228feccc0-fd%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/eye-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/eye-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:56	308/308	---M--	200	added ('OK')	image/png	etag:%2228feccc0-134%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/forbidden-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/forbidden-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:57	243/243	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-f3%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/forward-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/forward-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:57	302/302	---M--	200	added ('OK')	image/png	etag:%2228feccc0-12e%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/gear-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/gear-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:57	167/167	---M--	200	added ('OK')	image/png	etag:%2228feccc0-a7%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/grid-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/grid-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
